Date,Franklin,Cook County,Lake,Macon,Will,Kendall,Randolph,Winnebago
8/1/2023,94,5569,449,314,637,88,27,829
8/2/2023,96,5572,455,316,637,86,28,835
8/3/2023,94,5556,459,319,627,86,27,828
8/4/2023,96,5560,449,300,633,88,28,811
8/5/2023,96,5577,442,294,628,84,30,825
8/6/2023,97,5631,453,295,635,85,30,826
8/7/2023,94,5666,460,297,642,85,30,806
8/8/2023,99,5572,461,305,630,89,30,805
9-Aug,94,5569,466,303,628,83,30,809
8/10/2023,96,5517,465,303,628,86,30,803
8/11/2023,99,5524,464,301,630,83,25,794
8/12/2023,95,5527,459,305,637,85,22,808
8/13/2023,97,5564,461,313,642,86,22,813
8/14/2023,98,5581,466,314,646,83,25,805
8/15/2023,93,5514,463,312,650,82,25,805
8/16/2023,94,5521,466,314,644,81,22,810
8/17/2023,94,5505,467,312,639,78,21,797
8/18/2023,92,5511,463,309,652,80,25,807
8/19/2023,90,5516,464,307,635,80,23,810
8/20/2023,95,5563,472,314,632,79,22,820
8/21/2023,97,5584,483,324,632,78,22,803
8/22/2023,94,5522,486,312,628,78,24,806
8/23/2023,98,5514,480,307,625,78,26,797
8/24/2023,91,5505,482,308,621,78,24,791
8/25/2023,92,5528,476,306,615,78,25,789
8/26/2023,93,5511,471,300,614,75,21,793
8/27/2023,93,5547,469,304,626,74,19,800
8/28/2023,95,5581,479,312,621,76,21,781
8/29/2023,94,5498,478,310,621,75,18,777
8/30/2023,91,5474,486,306,608,77,24,767
8/31/2023,98,5439,478,300,614,82,23,765
9/1/2023,99,5442,475,302,610,80,26,772
9/2/2023,94,5448,476,298,613,82,23,787
9/3/2023,95,5499,481,301,605,84,24,792
9/4/2023,100,5547,481,302,609,86,23,801
5-Sep,102,5510,500,308,608,87,23,789
9/6/2023,100,5509,503,303,613,83,22,782
9/7/2023,97,5460,504,306,609,85,21,775
9/8/2023,95,5432,496,288,605,88,20,753
9/9/2023,89,5460,497,289,609,91,18,763
9/10/2023,93,5492,501,293,606,92,21,776
9/11/2023,96,5529,507,298,604,92,22,756
9/12/2023,97,5451,499,293,602,86,22,758
9/13/2023,100,5439,503,298,610,82,23,759
9/14/2023,98,5383,507,284,608,79,20,758
9/15/2023,93,5376,509,277,601,83,23,756
9/16/2023,67,5383,499,279,593,86,20,767
9/17/2023,70,5419,498,279,603,84,21,780
9/18/2023,68,5470,507,288,602,83,20,751
9/19/2023,69,5363,503,276,591,83,17,754
9/20/2023,66,5329,496,279,585,86,13,764
9/21/2023,63,5257,487,283,570,83,14,754
9/22/2023,63,5242,474,281,564,82,14,767
9/23/2023,61,5222,458,285,550,80,19,772
9/24/2023,61,5250,453,289,555,83,18,778
9/25/2023,64,5266,470,291,556,87,21,759
9/26/2023,65,5172,461,279,551,91,19,749
9/27/2023,62,5149,450,277,549,84,17,755
9/28/2023,64,5092,439,277,545,83,17,744
9/29/2023,65,5090,445,281,537,86,19,731
23-Sep,63,5057,441,283,531,86,16,739
10/1/2023,61,5093,440,283,542,85,14,757
10/2/2023,66,5117,448,287,543,85,14,735
10/3/2023,62,5043,433,286,529,86,11,738
10/4/2023,62,5044,429,280,536,85,14,736
10/5/2023,58,4986,425,279,524,86,13,743
10/6/2023,60,4982,423,274,519,83,11,746
10/7/2023,57,4974,413,268,518,91,12,738
10/8/2023,61,4995,417,273,518,92,12,753
10/9/2023,61,5017,418,276,524,87,12,740
10/10/2023,63,4980,439,285,525,87,12,735
10/11/2023,59,4960,439,276,525,86,11,739
10/12/2023,59,4909,428,272,522,83,12,735
10/13/2023,63,4904,419,260,519,84,10,741
10/14/2023,60,4926,413,256,504,84,10,748
10/15/2023,63,4957,416,260,506,84,11,756
10/16/2023,68,4974,422,262,505,85,11,726
10/17/2023,66,4903,416,259,503,84,11,737
10/18/2023,70,4897,422,250,512,83,10,730
10/19/2023,68,4870,419,247,502,80,11,734
10/20/2023,70,4885,419,248,506,79,10,737
10/21/2023,66,4856,423,249,501,83,9,742
10/22/2023,70,4888,421,255,501,83,10,744
10/23/2023,73,4919,430,262,507,79,10,742
10/24/2023,71,4840,424,254,506,81,11,745
10/25/2023,72,4850,420,252,505,83,10,747
10/26/2023,73,4819,407,240,504,80,10,748
10/27/2023,75,4817,420,242,515,80,9,749
10/28/2023,75,4832,413,246,504,80,11,
10/29/2023,74,4875,411,251,511,76,11,
