Date,TOTALNoofNonSentenced_sum
1/31/2014,18089.5
2/28/2014,18204
3/31/2014,21256
4/30/2014,21279
5/31/2014,22960
6/30/2014,22123
7/31/2014,22686
8/31/2014,23009
9/30/2014,21074.3333333333
10/31/2014,20726.4444444444
11/30/2014,17962.5833333333
12/31/2014,18343
1/31/2015,19559
2/28/2015,17349
3/31/2015,20988
4/30/2015,20174
5/31/2015,21071
6/30/2015,20433
7/31/2015,21821
8/31/2015,21566
9/30/2015,20618
10/31/2015,20623
11/30/2015,18411
12/31/2015,17731
1/31/2016,18297
2/28/2016,17728
3/31/2016,20018
4/30/2016,19258
5/31/2016,20154
6/30/2016,19825
7/31/2016,19190
8/31/2016,18908
9/30/2016,18458
10/31/2016,17947
11/30/2016,16756
12/31/2016,15650
1/31/2017,17960.5
2/28/2017,17712
3/31/2017,18754
4/30/2017,17997.5
5/31/2017,19592.5
6/30/2017,18825.5
7/31/2017,19019.5
8/31/2017,19322.5
9/30/2017,18240.5
10/31/2017,17881
11/30/2017,16748.5
12/31/2017,15966.5
1/31/2018,18050
2/28/2018,16601
3/31/2018,18596
4/30/2018,18280
5/31/2018,20007.25
6/30/2018,18732
7/31/2018,19430
8/31/2018,20150.5
9/30/2018,18035.25
10/31/2018,18760.8287037037
11/30/2018,17033.5555555556
12/31/2018,17293.6666666667
1/31/2019,18155
2/28/2019,17081
3/31/2019,19225
4/30/2019,19201
5/31/2019,20322
6/30/2019,19816
7/31/2019,20494
8/31/2019,20450
9/30/2019,18877
10/31/2019,18137
11/30/2019,16766
12/31/2019,16881.3333333333
1/31/2020,18309.4444444444
2/28/2020,17152.5925925926
3/31/2020,12853.012345679
4/30/2020,5044.85596707819
5/31/2020,7767.88888888889
6/30/2020,9784.66666666667
7/31/2020,11403
8/31/2020,12679
9/30/2020,12237
10/31/2020,12471
11/30/2020,10153
12/31/2020,10664
1/31/2021,10363
2/28/2021,9325
3/31/2021,12531
4/30/2021,11527
5/31/2021,12812
6/30/2021,12934
7/31/2021,12683
8/31/2021,12294
9/30/2021,11972
10/31/2021,11808
11/30/2021,11117
12/31/2021,11156
1/31/2022,10631.75
2/28/2022,10868.5
3/31/2022,13539
4/30/2022,13175.5
5/31/2022,13948
6/30/2022,13442.5
7/31/2022,13423.5
8/31/2022,13995.5
9/30/2022,13054
10/31/2022,12407.875
11/30/2022,11196.25
12/31/2022,11010.5
1/31/2023,14316
2/28/2023,12840
3/31/2023,13539.5
4/30/2023,13126
5/31/2023,14170
6/30/2023,13875.9166666667
7/31/2023,14130.4166666667
8/31/2023,14334.5555555556
9/30/2023,12729.5
10/31/2023,11397.5
11/30/2023,11142.5
12/31/2023,11362.5
1/31/2024,11335
2/29/2024,12100
3/31/2024,13367
