County,Pre-PFA All Cases (Detained more than 7 Days),Post-PFA All Cases (Detained more than 7 Days)
"Boone County, IL",21%,8%
"Carroll County, IL",31%,8%
"Cook County, IL",14%,6%
"Edwards County, IL",36%,15%
"Ford County, IL",31%,3%
"Franklin County, IL",35%,10%
"Fulton County, IL",21%,9%
"Hancock County, IL",13%,7%
"Henderson County, IL",31%,3%
"Jefferson County, IL",41%,9%
"Jo Daviess County, IL",18%,2%
"Knox County, IL",30%,9%
"Lawrence County, IL",33%,15%
"Livingston County, IL",22%,8%
"Logan County, IL",17%,11%
"McDonough County, IL",28%,16%
"Ogle County, IL",18%,7%
"Richland County, IL",16%,12%
"Stephenson County, IL",29%,12%
"Warren County, IL",34%,5%
"Wayne County, IL",37%,9%
"White County, IL",37%,12%
