,Misdemeanor Non-Detainable,Other Offenses
Sep 2022,84.8%,15.2%
Oct 2022,88.9%,10.9%
Nov 2022,87.6%,12.4%
Dec 2022,89.0%,10.9%
Jan 2023,86.2%,13.8%
Feb 2023,90.3%,9.6%
Mar 2023,87.1%,12.9%
Apr 2023,89.3%,10.6%
May 2023,88.0%,11.8%
Jun 2023,88.9%,11.1%
Jul 2023,87.1%,12.8%
Aug 2023,87.7%,12.3%
Sep 2023,80.0%,20.0%
Oct 2023,73.1%,26.9%
Nov 2023,81.8%,18.2%
Dec 2023,84.9%,15.1%
Jan 2024,86.5%,13.5%
Feb 2024,82.9%,17.1%
Mar 2024,83.6%,16.4%
Apr 2024,82.8%,17.2%
May 2024,85.4%,14.5%
Jun 2024,84.5%,15.5%
Jul 2024,86.0%,14.0%
Aug 2024,86.1%,13.9%
Sep 2024,84.4%,15.6%
Oct 2024,86.4%,13.6%
Nov 2024,86.5%,13.5%
Dec 2024,80.9%,19.1%
