Date,Citation,ROR/Conditions,Monetary Bail,Detained
Sep-22,14.30%,17.50%,16.70%,14.67%
Oct-22,18.10%,21.30%,17.10%,19.55%
Nov-22,16.10%,19.00%,17.60%,17.94%
Dec-22,15.80%,23.40%,19.20%,17.54%
Jan-23,17.00%,18.20%,18.60%,19.62%
Feb-23,14.90%,17.20%,16.80%,19.62%
Mar-23,17.90%,18.20%,17.70%,13.52%
Apr-23,17.90%,18.40%,16.50%,16.44%
May-23,18.70%,20.60%,17.10%,18.34%
Jun-23,20.70%,20.50%,16.30%,15.70%
Jul-23,18.00%,19.60%,17.70%,14.12%
Aug-23,22.60%,21.50%,19.40%,17.44%
Sep-23,24.60%,21.00%,20.10%,16.84%
Oct-23,23.50%,20.90%,,16.56%
Nov-23,25.40%,20.30%,,20.42%
Dec-23,26.20%,19.80%,,22.32%
Jan-24,26.90%,20.80%,,20.86%
Feb-24,26.70%,22.40%,,18.46%
Mar-24,28.60%,21.10%,,19.54%
Apr-24,24.60%,22.80%,,20.78%
May-24,28.10%,23.40%,,20.46%
Jun-24,26.50%,22.80%,,21.20%
Jul-24,27.90%,22.20%,,23.46%
Aug-24,29.60%,22.50%,,22.46%
Sep-24,27.80%,23.30%,,18.62%
Oct-24,29.40%,22.60%,,17.36%
Nov-24,29.40%,21.30%,,17.53%
Dec-24,29.80%,22.70%,,15.90%
